title,url,running_time,year,critics_num_reviews,critics_score,critics_rating,audience_num_total,audience_score,audience_rating,actors,screenwriters,directors,producers,genre1,genre2,genre3
Black Panther,https://www.rottentomatoes.com/m/black_panther_2018/,135,2018,520,96,Certified Fresh,88256,75,Upright,"Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira,Martin Freeman,Daniel Kaluuya,Letitia Wright,Winston Duke,Sterling K. Brown,Angela Bassett,Forest Whitaker,Andy Serkis,Florence Kasumba,John Kani,David S. Lee,Isaach De Bankolé,Connie Chiume,Danny Sapani,Marlana Carter,Sope Aluko,Stan Lee,Ashton Tyler,Denzel Whitaker,Shaunette Renee Wilson,Bambadjan Bamba,Roland Kilumbu,Jermaine T. Holt,Jay Lynch","Joe Robert Cole,Ryan Coogler",Ryan Coogler,"Kevin Feige,David J. Grant",Drama,Action & Adventure,Science Fiction & Fantasy
Avengers: Endgame,https://www.rottentomatoes.com/m/avengers_endgame/,182,2019,539,94,Certified Fresh,48604,88,Upright,"Robert Downey Jr.,Mark Ruffalo,Scarlett Johansson,Chris Evans,Chris Hemsworth,Chris Pratt,Elizabeth Olsen,Anthony Mackie,Benedict Cumberbatch,Chadwick Boseman,Evangeline Lilly,Karen Gillan,Brie Larson,Zoe Saldana,Frank Grillo,Ty Simpkins,Dave Bautista,Rene Russo,Sebastian Stan,Katherine Langford,Jeremy Renner,Paul Rudd,Gwyneth Paltrow,Don Cheadle,Josh Brolin,Tom Holland (II),Tilda Swinton,Letitia Wright,Winston Duke,Sean Gunn,Kerry Condon,Emma Fuhrmann,Benedict Wong,Hiroyuki Sanada,Terry Notary,Colin Goodwin,Bradley Cooper,Brandon Rush,Cobie Smulders,Michael A. Cook,Floyd Anthony Johns, Jr.,Eric Wallace,Khalid Ghajji,Brent McGee,Faith Logan,Monica Mathis,Hyejin Jang,Michael Pierino Miller,Jimmy Ray Pickens,Keith Nussbaum,Robert Redford,Benjamin Weaver,Ami Fujimoto,Renah Gallagher,Jay D. Kacho,Daniela Gaskie,Gozie Agbo,Michael Shaw,Michael James Shaw,Cade Woodward,Stan Lee,Jackson Dunn,Lee Moore,Matthew J. Berry,Joy McAvoy","Christopher Markus,Stephen McFeely",Anthony Russo,"Kevin Feige,Stephen McFeely,Mitchell Bell,Christopher Markus",Drama,Action & Adventure,Science Fiction & Fantasy
Mission: Impossible - Fallout,https://www.rottentomatoes.com/m/mission_impossible_fallout/,147,2018,433,97,Certified Fresh,14671,88,Upright,"Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,Rebecca Ferguson,Sean Harris,Angela Bassett,Vanessa Kirby,Wes Bentley,Frederick Schmidt,Michelle Monaghan,Alec Baldwin,Yang Feng Liang,Kristoffer Joner,Wolf Blitzer,Raphael Joner,Andrew Cazanave Pin,Christophe deChoisy,Raphael Desprez,Jean Baptiste Fillon,Max Geller,Olivier Huband,Vincent Latorre,Thierry Picaut,Alexandre Poole,Guy Remy,Anne Alix,Joey Ansah,Velibor Topic,Dean Ashton,Dj Harvey,Grahame Fox,Charlie Archer,Caspar Phillipson,Lolly Adefope,Ffion Jolly,Russ Bain,Nigel Allen,Tracey Saunders,Alicia Mencia Castano",Christopher McQuarrie,Christopher McQuarrie,"J.J. Abrams,Bryan Burk,Tom Cruise,David Ellison,Dana Goldberg,Don Granger,Christopher McQuarrie,Jake Myers,Tommy Gormley",Drama,Action & Adventure,Mystery & Suspense
Mad Max: Fury Road,https://www.rottentomatoes.com/m/mad_max_fury_road/,120,2015,426,97,Certified Fresh,127076,85,Upright,"Tom Hardy,Charlize Theron,Nicholas Hoult,Rosie Huntington-Whiteley,Zoë Kravitz,Riley Keough,Abbey Lee,Courtney Eaton,John Howard (II),Coco Jack Gillies,Greg van Borssum,Richard Carter,iOTA,Jennifer Hagan,Melissa Jaffer (II),Melita Jurisic,Gillian Jones,Joy Smithers,Antoinette Kellermann,Christina Koch,Quentin Kenihan,Chris Patton,Steve Dunleavy,Elizabeth Cunico,Sebastian Dickins,Darren Mitchell,Crusoe Kurddal,Adelaide Clemens,Hugh Keays-Byrne,Nathan Jones,Megan Gale,Josh Helman,Richard Norton,Debra Ades,Angus Sampson,Teresa Palmer","Brendan McCarthy,Nick Lathouris,George Miller",George Miller,"P.J. Voeten,Doug Mitchell,George Miller,Iain Smith,Bruce Berman,Graham Burke,Christopher DeFaria,Steven Mnuchin",Action & Adventure,Science Fiction & Fantasy,
Spider-Man: Into the Spider-Verse,https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse/,100,2018,389,97,Certified Fresh,16314,94,Upright,"Shameik Moore,Jake Johnson (XVI),Hailee Steinfeld,Mahershala Ali,Brian Tyree Henry,Lily Tomlin,Luna Lauren Vélez,Zoë Kravitz,John Mulaney,Kimiko Glenn,Nicolas Cage,Kathryn Hahn,Liev Schreiber,Chris Pine,Natalie Morales","Phil Lord,Rodney Rothman","Bob Persichetti,Peter Ramsey,Rodney Rothman","Avi Arad,Amy Pascal,Phil Lord,Christopher Miller,Christina Steinberg",Action & Adventure,Animation,Kids & Family
Wonder Woman,https://www.rottentomatoes.com/m/wonder_woman_2017/,141,2017,464,93,Certified Fresh,127842,88,Upright,"Gal Gadot,Chris Pine,Connie Nielsen,Robin Wright,Danny Huston,David Thewlis,Saïd Taghmaoui,Ewen Bremner,Eugene Braverock,Elena Anaya,Lucy Davis,Lilly Aspell,Lisa Loven Kongsli,Ann J. Wolfe,Ann Ogbomo,Emily Carey,James Cosmo,Wolf Kahler,Alexander Mercury,Martin Bishop,Flora Nicholson,Pat Abernethy,Freddy Elletson,Sammy Hayman,Michael Tantrum,Philippe Spall,Edward Wolstenholme,Ian Hughes,Marko Leht,Steffan Rhodri,Andrew Byron,Dominic Kinnaird,Rachel Pickup,Ulli Ackermann,Frank Allen Forbes,Peter Stark,Rainer Bock,Jennie Eggleton,Josh Bromley,Eva Dabrowski,Harvey James,Danielle Lewis,Florence Kasumba,Eleanor Matsuura,Josette Simon,Doutzen Kroes,Hayley Warnes,Caitlin Burles,Jemma Moore,Samantha Jo,Brooke Ence,Madeleine Vall Beijner,Hari James,Jacqui-Lee Pryce,Betty Adewole,Caroline Maria Winberg,Lizzie Bowden,Kattreya Scheurer-Smith,Sharmina Harrower,Rekha Elizabeth Luther,Thaina Oliveira,Zinnia Kumar,Toma McDonagh,Amber Doyle,Freddy Carter,Fred Ferguson,Tim Pritchett,Gana Bayarsaikhan,Camilla Roholm,Stephanie Haymes-Roven,Nia Burke","Allan Heinberg,Geoff Johns",Patty Jenkins,"Richard Suckle,Zack Snyder,Deborah Snyder,Charles Roven,Curt Kanemoto,Tommy Gormley",Drama,Action & Adventure,Science Fiction & Fantasy
Dunkirk,https://www.rottentomatoes.com/m/dunkirk_2017/,107,2017,459,92,Certified Fresh,67218,81,Upright,"Fionn Whitehead,Tom Glynn-Carney,Jack Lowden,Harry Styles,Aneurin Barnard,James D'Arcy,Barry Keoghan,Kenneth Branagh,Cillian Murphy,Mark Rylance,Tom Hardy",Christopher Nolan,Christopher Nolan,"Christopher Nolan,Emma Thomas",Drama,Action & Adventure,
Coco,https://www.rottentomatoes.com/m/coco_2017/,109,2017,347,97,Certified Fresh,26412,94,Upright,"Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach,Renée Victor,Jaime Camil,Gabriel Iglesias,Ana Ofelia Murguía,Edward James Olmos,Alfonso Arau,Herbert Siguenza,Lombardo Boyar,Natalia Cordova-Buckley,Selene Luna,Sofía Espinosa,Carla Medina,Dyana Ortelli,Luis Valdez,Blanca Araceli,Salvador Reyes,Cheech Marin,Octavio Solis,John Ratzenberger,Lalo Alcaraz","Adrian Molina,Matthew Aldrich","Lee Unkrich,Adrian Molina",Darla K. Anderson,Action & Adventure,Animation,Kids & Family
Thor: Ragnarok,https://www.rottentomatoes.com/m/thor_ragnarok_2017/,130,2017,430,93,Certified Fresh,92623,87,Upright,"Chris Hemsworth,Tom Hiddleston,Mark Ruffalo,Cate Blanchett,Anthony Hopkins,Benedict Cumberbatch,Idris Elba,Tessa Thompson,Karl Urban,Taika Waititi,Clancy Brown,Ray Stevenson,Jeff Goldblum",Eric Pearson,Taika Waititi,Kevin Feige,Drama,Action & Adventure,Science Fiction & Fantasy
Logan,https://www.rottentomatoes.com/m/logan_2017/,135,2017,419,93,Certified Fresh,91590,90,Upright,"Hugh Jackman,Patrick Stewart,Boyd Holbrook,Stephen Merchant,Dafne Keen,Richard E. Grant,Eriq La Salle,Elise Neal,Elizabeth Rodriguez,Quincy Fouse,Al Coronel,Frank Gallegos,Anthony Escobar,Rey Gallegos,Krzysztof Soszynski,Steve Dunlevy,Daniel Bernhardt,Ryan Sturz,Brandon Melendy,Jeremy Fitzgerald,Luke Hawx,Chris Palermo,Paul Andrew O'Connor,Maureen Brennan,Jayson Genao,Hannah Westerfield,Bryant Tardy,Ashlyn Casalegno,Alison Fernandez,Parker Lovein,Jimmy Gonzales,Dave Davis,Lennie Loftin,Mark Ashworth,James Handy,Bryce Romero,Phi Vu,Chester Rushing,David E. Simpson,Lauren Gros,John Raymond,Vanessa Cloke,Doris Morgado,Katie Anne Mitchell,Lara Grice,James Moses Black,Ned Yousef,Michael Lehr,Baxter Humby,Bryan Sloyer,Daniel Hernández,John Bernecker,Evan D. Taylor,Joe Nin Williams,Toby Holguin,Robert Wu,Han Soto,Rissa Kilar,Salef Celiz,Aidan Kennedy,Nayah Murphy,Chase Cubia,Emma Teo,Vincenzo Lucatorto,Noell Jellison,Kelton DuMont,Damon Carney,Cynthia Woods,Mali O'Connor,Robert Vargas,David Paris,Stephen Dunlevy,Rocky Abou-Sakher,Keith Jardine,Jean Claude Leuyer,Andrew Arrabito","Michael Green,James Mangold,Scott Frank",James Mangold,"Hutch Parker,Simon Kinberg,Lauren Shuler Donner,Dana Robin,Kurt Williams",Drama,Action & Adventure,Science Fiction & Fantasy
